Heliostat ID,Pos-x,Pos-y,Pos-z,Aim-x,Aim-y,Aim-z,Track-x,Track-y,Track-z,Reflectivity,Soiling,Total eff,Cosine eff,Attenuation,Blocking,Shading,Intercept eff.,Annual efficiency,
241,-194.24,-8.91,0.00,-8.49,-0.39,150.00,0.413,-0.091,0.906,0.9500,0.9500,0.7758,0.8869,0.9692,1.0000,1.0000,1.0000,0.6666,
1785,332.96,389.03,0.00,5.53,6.46,150.00,-0.392,-0.543,0.742,0.9500,0.9500,0.7166,0.8518,0.9425,0.9891,1.0000,1.0000,0.6710,
3414,154.44,790.72,0.00,1.63,8.34,150.00,-0.140,-0.699,0.701,0.9500,0.9500,0.6865,0.8307,0.9180,1.0000,1.0000,0.9975,0.6674,
2880,221.11,677.09,0.00,2.64,8.08,150.00,-0.208,-0.673,0.709,0.9500,0.9500,0.6983,0.8370,0.9257,0.9993,1.0000,0.9993,0.6694,
2550,349.38,555.50,0.00,4.53,7.20,150.00,-0.336,-0.609,0.718,0.9500,0.9500,0.7040,0.8387,0.9303,1.0000,1.0000,0.9997,0.6665,
1274,333.13,247.84,0.00,6.82,5.07,150.00,-0.463,-0.440,0.770,0.9500,0.9500,0.7389,0.8611,0.9508,1.0000,1.0000,1.0000,0.6661,
2859,-290.99,650.13,0.00,-3.47,7.76,150.00,0.215,-0.660,0.719,0.9500,0.9500,0.6793,0.8255,0.9257,0.9857,1.0000,0.9994,0.6708,
2398,-373.72,507.58,0.00,-5.04,6.84,150.00,0.323,-0.595,0.736,0.9500,0.9500,0.6936,0.8242,0.9325,1.0000,1.0000,0.9998,0.6636,
81,107.66,-71.91,0.00,7.07,-4.72,150.00,-0.306,0.082,0.949,0.9500,0.9500,0.8141,0.9264,0.9737,1.0000,1.0000,1.0000,0.6808,
2882,268.02,659.93,0.00,3.20,7.88,150.00,-0.246,-0.660,0.710,0.9500,0.9500,0.6965,0.8365,0.9257,0.9973,1.0000,0.9993,0.6739,
2041,361.82,422.76,0.00,5.53,6.46,150.00,-0.397,-0.550,0.735,0.9500,0.9500,0.7166,0.8459,0.9388,1.0000,1.0000,1.0000,0.6661,
3402,-182.07,784.82,0.00,-1.92,8.28,150.00,0.108,-0.700,0.706,0.9500,0.9500,0.6816,0.8247,0.9180,1.0000,1.0000,0.9976,0.6671,
3413,126.62,795.65,0.00,1.34,8.39,150.00,-0.120,-0.703,0.701,0.9500,0.9500,0.6864,0.8306,0.9180,1.0000,1.0000,0.9975,0.6682,
3403,-154.44,790.72,0.00,-1.63,8.34,150.00,0.087,-0.704,0.705,0.9500,0.9500,0.6824,0.8256,0.9180,1.0000,1.0000,0.9976,0.6674,
3592,146.27,825.58,0.00,1.48,8.37,150.00,-0.130,-0.704,0.698,0.9500,0.9500,0.6820,0.8286,0.9154,1.0000,1.0000,0.9963,0.6727,
1064,-320.77,205.90,0.00,-7.15,4.59,150.00,0.435,-0.413,0.800,0.9500,0.9500,0.7213,0.8456,0.9537,0.9910,1.0000,1.0000,0.6643,
1884,-357.19,397.29,0.00,-5.68,6.32,150.00,0.360,-0.549,0.754,0.9500,0.9500,0.7016,0.8311,0.9406,0.9944,1.0000,1.0000,0.6644,
748,-291.89,123.20,0.00,-7.83,3.31,150.00,0.459,-0.320,0.829,0.9500,0.9500,0.7398,0.8546,0.9592,1.0000,1.0000,1.0000,0.6619,
3219,-265.53,725.84,0.00,-2.92,7.98,150.00,0.178,-0.680,0.712,0.9500,0.9500,0.6830,0.8233,0.9207,1.0000,1.0000,0.9984,0.6668,
1364,338.18,270.20,0.00,6.64,5.31,150.00,-0.455,-0.458,0.764,0.9500,0.9500,0.7358,0.8589,0.9493,1.0000,1.0000,1.0000,0.6670,
3238,239.92,734.70,0.00,2.64,8.08,150.00,-0.210,-0.679,0.704,0.9500,0.9500,0.6907,0.8326,0.9207,1.0000,1.0000,0.9984,0.6684,
588,260.08,94.48,0.00,7.99,2.90,150.00,-0.487,-0.279,0.827,0.9500,0.9500,0.7705,0.8869,0.9626,1.0000,1.0000,1.0000,0.6666,
37,68.73,-89.06,0.00,5.19,-6.73,150.00,-0.211,0.136,0.968,0.9500,0.9500,0.8184,0.9304,0.9747,1.0000,1.0000,1.0000,0.6849,
2423,348.50,525.22,0.00,4.70,7.08,150.00,-0.346,-0.599,0.722,0.9500,0.9500,0.7074,0.8407,0.9325,1.0000,1.0000,0.9998,0.6674,
3412,98.65,799.60,0.00,1.04,8.44,150.00,-0.099,-0.706,0.701,0.9500,0.9500,0.6863,0.8304,0.9180,1.0000,1.0000,0.9975,0.6688,
